Term_Code_Grad,Term_Code_Admit,Gender,Programme_Major,Faculty_Code,Class_Of_Degree_Code
201420,200910,F,BSC Computer Science and Management,ST,P
201210,201010,F,BSC Computer Science (Major),SA,SL
201820,201410,M,BSC Information Technology (Major),ST,SU
200430,200110,F,BSC Computer Science (Spec),SA,SL
201620,201310,F,BSC Information Technology (Major),ST,F
200830,200310,M,BSC Information Technology (Major),SA,P
200720,200510,F,BSC Information Technology (Major),SA,P
201620,201210,F,BSC Computer Science (Major),ST,SU
202010,201810,M,BSC Computer Science and Management,ST,F
202030,201810,M,BSC Information Technology (Major),ST,SU
201720,201310,F,BSC Computer Science and Management,ST,SU
202410,202110,F,BSC Computer Science and Management,ST,P
200420,200210,F,BSC Computer Science and Management,SA,SU
200410,200010,F,BSC Information Technology (Major),SA,P
202120,201610,F,BSC Information Technology (Major),ST,P
200420,200010,M,BSC Computer Science and Management,SA,P
200810,200310,F,BSC Computer Science and Management,SA,SL
202010,201610,F,BSC Computer Science and Management,ST,SL
201130,200610,M,BSC Information Technology (Spec),SA,SU
201310,200910,F,BSC Information Technology (Spec),ST,SL
200930,200710,M,BSC Information Technology (Spec),SA,SU
201030,200810,M,BSC Information Technology (Major),SA,SU
201330,201110,F,BSC Information Technology (Spec),ST,SU
201710,201310,M,BSC Information Technology (Major),ST,SU
202430,201910,M,BSC Computer Science (Major),ST,F
202430,202210,M,BSC Computer Science (Spec),ST,F
202420,202310,M,BSC Information Technology (Spec),ST,F
202230,202010,M,BSC Computer Science and Management,ST,SL
200710,200410,F,BSC Information Technology (Major),SA,SL
201230,201010,F,BSC Information Technology (Major),SA,SU
201220,200910,F,BSC Information Technology (Major),SA,SU
200610,200310,F,BSC Computer Science (Spec),SA,SU
201930,201410,M,BSC Information Technology (Major),ST,F
200410,200110,F,BSC Computer Science (Spec),SA,SU
201230,200810,M,BSC Computer Science (Major),SA,F
201710,201510,F,BSC Computer Science and Management,ST,P
201120,200910,M,BSC Computer Science (Major),SA,SL
202410,202310,F,BSC Information Technology (Spec),ST,F
201830,201610,F,BSC Information Technology (Major),ST,SU
200920,200710,F,BSC Information Technology (Spec),SA,F
201520,201210,F,BSC Computer Science (Spec),ST,SU
200820,200510,F,BSC Information Technology (Major),SA,SU
202020,201810,F,BSC Computer Science (Major),ST,SU
202220,201710,M,BSC Computer Science and Management,ST,SU
201630,201110,M,BSC Computer Science and Management,ST,SU
202230,202010,F,BSC Computer Science (Spec),ST,SU
202220,201710,F,BSC Computer Science (Major),ST,SL
201220,200710,M,BSC Information Technology (Major),SA,SU
201110,200910,F,BSC Computer Science (Spec),SA,SU
201830,201410,F,BSC Computer Science (Major),ST,SU
200720,200210,M,BSC Computer Science and Management,SA,F
201510,201310,M,BSC Information Technology (Spec),ST,SU
201630,201110,M,BSC Information Technology (Major),ST,F
200230,200010,M,BSC Information Technology (Major),SA,F
200620,200410,F,BSC Computer Science and Management,SA,SU
202010,201810,M,BSC Computer Science (Spec),ST,SL
202430,202210,F,BSC Computer Science and Management,ST,SL
201820,201510,M,BSC Information Technology (Spec),ST,SU
201210,200910,F,BSC Computer Science and Management,SA,SU
201730,201210,F,BSC Computer Science (Major),ST,SU
202010,201710,F,BSC Computer Science (Spec),ST,SU
202410,202210,F,BSC Information Technology (Spec),ST,SL
202310,201910,F,BSC Computer Science and Management,ST,SU
202010,201810,M,BSC Information Technology (Major),ST,F
201710,201510,F,BSC Computer Science (Spec),ST,SU
201420,200910,F,BSC Information Technology (Major),ST,SU
202220,201910,M,BSC Information Technology (Major),ST,SU
201610,201310,F,BSC Computer Science and Management,ST,SU
202410,201910,F,BSC Information Technology (Spec),ST,F
202410,202010,M,BSC Information Technology (Major),ST,SU
201530,201010,F,BSC Information Technology (Major),ST,F
201710,201310,F,BSC Information Technology (Spec),ST,SU
200510,200110,F,BSC Computer Science and Management,SA,P
202310,202110,M,BSC Information Technology (Spec),ST,F
201620,201210,F,BSC Computer Science (Spec),ST,P
200420,200110,F,BSC Information Technology (Spec),SA,SL
201510,201010,M,BSC Computer Science and Management,ST,F
202110,201610,F,BSC Computer Science (Major),ST,SU
200420,200110,M,BSC Computer Science and Management,SA,SL
201330,200910,M,BSC Information Technology (Spec),ST,SU
201620,201310,F,BSC Computer Science (Spec),ST,P
202410,202110,F,BSC Computer Science (Spec),ST,SU
201010,200710,F,BSC Computer Science and Management,SA,SU
202420,202210,M,BSC Information Technology (Major),ST,SU
201830,201410,F,BSC Information Technology (Major),ST,SL
200610,200310,M,BSC Computer Science (Major),SA,SU
201210,200910,F,BSC Computer Science and Management,SA,P
202430,202110,F,BSC Information Technology (Spec),ST,F
202120,201810,M,BSC Computer Science (Spec),ST,F
201720,201510,F,BSC Computer Science and Management,ST,F
202320,202110,F,BSC Information Technology (Spec),ST,SU
201310,201010,M,BSC Information Technology (Major),ST,F
202420,202110,F,BSC Information Technology (Spec),ST,F
200410,200010,F,BSC Computer Science and Management,SA,F
202410,202310,M,BSC Computer Science and Management,ST,SU
200330,200110,F,BSC Computer Science (Major),SA,SL
201110,200810,F,BSC Computer Science (Major),SA,SU
200920,200610,F,BSC Computer Science and Management,SA,F
202410,202410,M,BSC Information Technology (Major),ST,SL
202430,202310,F,BSC Computer Science and Management,ST,F
200730,200310,F,BSC Information Technology (Major),SA,SL
201720,201210,F,BSC Computer Science (Major),ST,F
201730,201310,F,BSC Information Technology (Major),ST,F
201510,201310,F,BSC Computer Science and Management,ST,SL
202430,202110,M,BSC Information Technology (Major),ST,SL
202220,202010,F,BSC Information Technology (Major),ST,SU
201910,201510,F,BSC Computer Science and Management,ST,SU
202120,201610,F,BSC Information Technology (Spec),ST,SU
200330,200110,F,BSC Information Technology (Major),SA,SU
201820,201410,F,BSC Information Technology (Spec),ST,SU
202410,202410,F,BSC Computer Science (Spec),ST,SU
201410,201210,F,BSC Computer Science and Management,ST,SU
202330,201810,M,BSC Information Technology (Spec),ST,SU
201310,201010,M,BSC Computer Science (Major),ST,F
202330,201910,F,BSC Information Technology (Major),ST,SL
200220,200010,F,BSC Computer Science (Major),SA,SU
202420,202010,F,BSC Information Technology (Spec),ST,F
201930,201510,F,BSC Information Technology (Major),ST,SU
200510,200210,F,BSC Computer Science (Spec),SA,SU
200310,200010,M,BSC Information Technology (Major),SA,F
200720,200410,M,BSC Computer Science (Major),SA,SU
202410,202410,F,BSC Information Technology (Major),ST,SU
200610,200310,F,BSC Information Technology (Major),SA,SL
200530,200010,M,BSC Computer Science (Spec),SA,SU
202310,201810,F,BSC Computer Science (Major),ST,SU
202420,202010,M,BSC Information Technology (Spec),ST,P
202410,202310,M,BSC Information Technology (Major),ST,SL
202110,201610,M,BSC Information Technology (Spec),ST,SU
201730,201310,F,BSC Computer Science and Management,ST,F
201810,201310,M,BSC Information Technology (Spec),ST,F
201630,201110,F,BSC Computer Science (Major),ST,SU
201220,200910,F,BSC Information Technology (Major),SA,SU
201930,201610,M,BSC Information Technology (Spec),ST,F
202410,202110,F,BSC Information Technology (Major),ST,SL
202420,202110,M,BSC Information Technology (Spec),ST,SU
201130,200910,M,BSC Computer Science (Spec),SA,SU
200930,200610,F,BSC Computer Science (Major),SA,SL
201910,201510,F,BSC Information Technology (Spec),ST,SU
200420,200010,F,BSC Computer Science (Spec),SA,SU
201810,201610,F,BSC Information Technology (Major),ST,SU
202210,201910,F,BSC Information Technology (Major),ST,SU
201410,201010,M,BSC Computer Science (Spec),ST,F
201830,201610,F,BSC Information Technology (Major),ST,SL
202410,202410,F,BSC Information Technology (Spec),ST,SU
201810,201610,M,BSC Computer Science (Spec),ST,SL
200930,200510,M,BSC Information Technology (Spec),SA,SL
202410,202310,F,BSC Computer Science and Management,ST,SU
200620,200310,F,BSC Computer Science (Major),SA,SU
201920,201510,F,BSC Computer Science (Spec),ST,SU
201230,200810,F,BSC Computer Science and Management,SA,F
202410,202110,F,BSC Computer Science (Spec),ST,SU
201820,201310,M,BSC Information Technology (Spec),ST,F
201320,201110,M,BSC Computer Science (Major),ST,F
201810,201610,F,BSC Computer Science and Management,ST,SL
202420,202410,F,BSC Information Technology (Major),ST,F
200430,200110,M,BSC Information Technology (Spec),SA,SU
201830,201310,F,BSC Computer Science and Management,ST,SL
200430,200010,M,BSC Information Technology (Major),SA,SL
202330,202010,F,BSC Computer Science and Management,ST,F
201520,201210,F,BSC Computer Science (Major),ST,SL
201530,201010,F,BSC Information Technology (Spec),ST,P
201210,200910,F,BSC Information Technology (Spec),SA,SU
202030,201610,F,BSC Computer Science (Major),ST,SU
202110,201710,M,BSC Information Technology (Major),ST,SL
200520,200310,M,BSC Information Technology (Spec),SA,SL
200530,200310,F,BSC Information Technology (Major),SA,SU
202020,201810,F,BSC Computer Science (Spec),ST,F
202120,201810,M,BSC Computer Science and Management,ST,F
202430,202210,F,BSC Information Technology (Spec),ST,F
200920,200710,M,BSC Information Technology (Spec),SA,SU
202420,202410,M,BSC Computer Science (Spec),ST,F
201810,201310,M,BSC Computer Science (Major),ST,SL
200910,200410,F,BSC Computer Science (Major),SA,SL
202430,202110,F,BSC Computer Science and Management,ST,P
202020,201510,M,BSC Information Technology (Major),ST,SU
200720,200410,F,BSC Computer Science (Spec),SA,F
201830,201610,M,BSC Information Technology (Major),ST,SL
200430,200110,M,BSC Computer Science (Major),SA,P
201510,201310,M,BSC Information Technology (Spec),ST,SU
200410,200110,M,BSC Computer Science and Management,SA,SL
201320,200910,M,BSC Computer Science (Spec),ST,SU
202310,201810,F,BSC Computer Science and Management,ST,SU
201010,200510,M,BSC Information Technology (Spec),SA,SL
200420,200210,F,BSC Information Technology (Spec),SA,SU
202320,201810,F,BSC Information Technology (Major),ST,F
202210,201910,F,BSC Information Technology (Major),ST,F
201910,201410,F,BSC Computer Science (Major),ST,F
202420,202110,M,BSC Information Technology (Major),ST,SU
201930,201710,M,BSC Computer Science and Management,ST,F
200530,200210,M,BSC Information Technology (Spec),SA,F
202430,202410,M,BSC Information Technology (Spec),ST,SU
200830,200610,F,BSC Information Technology (Major),SA,SL
200230,200010,F,BSC Computer Science (Major),SA,SU
200930,200610,F,BSC Computer Science (Major),SA,SL
202320,201910,F,BSC Information Technology (Major),ST,SU
201510,201010,M,BSC Computer Science (Major),ST,SL
201520,201010,M,BSC Computer Science (Major),ST,SU
202020,201710,F,BSC Computer Science (Spec),ST,SU
202410,202410,F,BSC Information Technology (Major),ST,F
200730,200510,M,BSC Computer Science (Spec),SA,SU
202420,202210,F,BSC Computer Science (Major),ST,SU
200920,200410,F,BSC Information Technology (Major),SA,SU
200410,200110,M,BSC Information Technology (Major),SA,SL
202410,202410,F,BSC Computer Science (Major),ST,SU
201910,201410,M,BSC Computer Science (Major),ST,SL
202310,202010,M,BSC Information Technology (Spec),ST,P
202310,202110,F,BSC Computer Science and Management,ST,P
201810,201310,F,BSC Computer Science (Spec),ST,SU
201410,201110,M,BSC Information Technology (Spec),ST,SL
200320,200110,F,BSC Computer Science (Spec),SA,SU
200620,200110,M,BSC Information Technology (Major),SA,SL
202330,202010,F,BSC Computer Science and Management,ST,SU
200720,200510,F,BSC Information Technology (Major),SA,F
200630,200310,F,BSC Information Technology (Major),SA,SU
202330,201910,F,BSC Computer Science and Management,ST,F
202420,202210,F,BSC Computer Science and Management,ST,SU
201130,200610,F,BSC Computer Science (Major),SA,F
200630,200410,M,BSC Computer Science (Major),SA,SU
202420,202110,F,BSC Information Technology (Major),ST,SL
200430,200210,M,BSC Information Technology (Major),SA,F
200720,200310,M,BSC Information Technology (Major),SA,SU
202410,202410,F,BSC Computer Science and Management,ST,SU
201610,201410,F,BSC Computer Science and Management,ST,F
202410,202210,M,BSC Information Technology (Spec),ST,F
201210,200910,F,BSC Computer Science and Management,SA,SU
201330,200810,M,BSC Computer Science (Major),ST,SU
202410,202010,M,BSC Information Technology (Spec),ST,SL
201830,201510,F,BSC Information Technology (Spec),ST,F
202410,202110,F,BSC Computer Science (Major),ST,SU
201130,200810,M,BSC Computer Science (Spec),SA,F
200430,200010,F,BSC Computer Science (Major),SA,SL
202220,202010,M,BSC Information Technology (Major),ST,SU
200820,200310,M,BSC Information Technology (Spec),SA,F
200410,200110,F,BSC Information Technology (Major),SA,SL
201810,201410,M,BSC Computer Science (Spec),ST,SU
200430,200210,F,BSC Information Technology (Major),SA,SU
201010,200710,F,BSC Computer Science and Management,SA,SU
202210,202010,F,BSC Information Technology (Major),ST,SU
202220,201810,F,BSC Computer Science (Major),ST,SL
201110,200710,F,BSC Information Technology (Spec),SA,SU
200710,200210,F,BSC Information Technology (Spec),SA,SU
200410,200210,M,BSC Computer Science and Management,SA,F
200510,200210,F,BSC Computer Science (Major),SA,SU
202410,201910,F,BSC Computer Science (Major),ST,P
200520,200110,F,BSC Computer Science (Major),SA,F
202410,202410,M,BSC Information Technology (Major),ST,SL
201930,201410,M,BSC Computer Science and Management,ST,F
202320,202110,F,BSC Computer Science and Management,ST,P
200810,200610,M,BSC Information Technology (Spec),SA,F
200530,200210,F,BSC Information Technology (Spec),SA,SU
201620,201110,F,BSC Computer Science (Spec),ST,SU
200610,200410,F,BSC Computer Science and Management,SA,P
201720,201310,M,BSC Computer Science (Spec),ST,SL
201320,200910,M,BSC Computer Science (Major),ST,SL
202110,201810,F,BSC Information Technology (Spec),ST,P
200620,200110,F,BSC Computer Science (Spec),SA,F
200820,200610,M,BSC Information Technology (Major),SA,F
202430,202210,M,BSC Information Technology (Spec),ST,P
201420,201010,M,BSC Computer Science (Spec),ST,SU
201620,201410,M,BSC Computer Science (Major),ST,F
201020,200710,F,BSC Computer Science (Spec),SA,SL
202430,202310,F,BSC Computer Science (Spec),ST,SL
200720,200510,F,BSC Computer Science (Major),SA,SL
200210,200010,M,BSC Information Technology (Major),SA,SU
202410,202010,M,BSC Computer Science (Spec),ST,SU
201210,200910,F,BSC Computer Science (Spec),SA,SU
202010,201710,F,BSC Computer Science (Major),ST,SU
201010,200810,F,BSC Information Technology (Major),SA,F
200710,200310,F,BSC Information Technology (Major),SA,SU
201530,201110,F,BSC Information Technology (Spec),ST,F
201510,201310,F,BSC Computer Science (Spec),ST,SU
201130,200610,M,BSC Computer Science and Management,SA,P
201610,201310,M,BSC Information Technology (Spec),ST,SU
200810,200410,F,BSC Computer Science and Management,SA,SU
202110,201610,M,BSC Information Technology (Major),ST,F
202110,201910,M,BSC Information Technology (Major),ST,F
202420,202010,F,BSC Computer Science (Spec),ST,SU
202430,202210,F,BSC Information Technology (Major),ST,SL
201330,200810,F,BSC Computer Science (Spec),ST,SU
201110,200610,F,BSC Computer Science (Spec),SA,SU
201830,201310,M,BSC Computer Science and Management,ST,SU
201910,201710,M,BSC Computer Science and Management,ST,SL
202010,201610,F,BSC Information Technology (Major),ST,SL
202320,201910,F,BSC Information Technology (Major),ST,SL
201720,201310,F,BSC Computer Science and Management,ST,SL
200320,200010,F,BSC Computer Science and Management,SA,F
200610,200210,F,BSC Information Technology (Spec),SA,SL
201920,201710,F,BSC Computer Science (Major),ST,SU
200610,200210,F,BSC Computer Science and Management,SA,SU
202420,202110,M,BSC Computer Science and Management,ST,SU
202430,202210,F,BSC Computer Science (Major),ST,F
201320,200910,F,BSC Information Technology (Major),ST,P
202420,202410,M,BSC Computer Science (Spec),ST,SL
201030,200710,F,BSC Information Technology (Major),SA,SU
202130,201610,F,BSC Computer Science and Management,ST,SU
201320,201010,F,BSC Computer Science (Spec),ST,SL
201620,201410,M,BSC Information Technology (Spec),ST,SU
201120,200910,M,BSC Computer Science and Management,SA,SU
201830,201310,F,BSC Information Technology (Spec),ST,SU
201230,201010,F,BSC Computer Science (Spec),SA,SU
201520,201010,F,BSC Information Technology (Major),ST,SU
202210,201710,F,BSC Computer Science (Major),ST,SU
202330,201810,F,BSC Computer Science (Major),ST,SU
200610,200310,F,BSC Computer Science (Major),SA,SU
200820,200610,F,BSC Computer Science (Spec),SA,SU
201120,200910,M,BSC Computer Science and Management,SA,SL
200320,200010,F,BSC Information Technology (Major),SA,SU
200630,200310,M,BSC Information Technology (Major),SA,F
200710,200210,F,BSC Computer Science (Spec),SA,SU
201810,201310,F,BSC Information Technology (Spec),ST,SU
202120,201610,F,BSC Computer Science (Major),ST,SU
201620,201410,M,BSC Information Technology (Spec),ST,SU
202320,201810,F,BSC Information Technology (Spec),ST,SU
202420,202310,F,BSC Computer Science and Management,ST,F
202420,202210,F,BSC Information Technology (Major),ST,SU
201020,200510,M,BSC Computer Science (Spec),SA,F
202020,201810,F,BSC Computer Science (Spec),ST,SU
201230,200810,M,BSC Computer Science (Spec),SA,SL
201520,201310,F,BSC Computer Science (Major),ST,SL
202420,202410,M,BSC Computer Science (Spec),ST,SU
200820,200610,M,BSC Computer Science (Major),SA,F
202420,202210,M,BSC Information Technology (Major),ST,SU
201410,201210,F,BSC Computer Science (Major),ST,F
200830,200410,F,BSC Information Technology (Major),SA,SL
200430,200210,M,BSC Information Technology (Major),SA,SU
201910,201510,M,BSC Computer Science (Major),ST,P
200620,200310,F,BSC Information Technology (Spec),SA,F
201510,201210,F,BSC Computer Science and Management,ST,SU
201810,201410,F,BSC Computer Science (Major),ST,F
202020,201710,M,BSC Information Technology (Spec),ST,F
202320,202110,M,BSC Information Technology (Major),ST,SU
202110,201910,M,BSC Computer Science (Spec),ST,SU
201410,201110,F,BSC Computer Science (Major),ST,SL
200220,200010,M,BSC Computer Science (Major),SA,SU
200630,200310,F,BSC Computer Science (Major),SA,SL
201820,201610,F,BSC Information Technology (Spec),ST,F
200930,200610,M,BSC Information Technology (Major),SA,SU
201010,200710,F,BSC Computer Science and Management,SA,SU
200530,200010,M,BSC Computer Science (Major),SA,SL
201110,200610,F,BSC Computer Science and Management,SA,F
202310,201910,F,BSC Computer Science (Spec),ST,SL
201410,200910,F,BSC Computer Science and Management,ST,SU
202330,201910,F,BSC Computer Science (Spec),ST,SU
200930,200510,F,BSC Computer Science (Major),SA,SU
200520,200010,M,BSC Computer Science (Spec),SA,SL
202010,201810,F,BSC Information Technology (Spec),ST,F
200710,200310,F,BSC Computer Science (Spec),SA,F
200410,200210,F,BSC Information Technology (Major),SA,SU
200920,200610,F,BSC Computer Science (Major),SA,SU
202430,202310,F,BSC Computer Science (Spec),ST,SU
201230,201010,F,BSC Computer Science and Management,SA,F
200330,200010,M,BSC Computer Science and Management,SA,SU
200830,200610,M,BSC Computer Science (Spec),SA,P
201610,201210,F,BSC Computer Science (Major),ST,SU
201710,201510,M,BSC Computer Science (Spec),ST,SU
200610,200410,F,BSC Computer Science (Spec),SA,SL
200730,200210,F,BSC Computer Science and Management,SA,SU
202410,202310,F,BSC Computer Science (Spec),ST,P
201120,200710,M,BSC Computer Science (Spec),SA,SU
201720,201510,F,BSC Information Technology (Major),ST,SU
202020,201510,F,BSC Information Technology (Spec),ST,F
201620,201310,F,BSC Information Technology (Major),ST,SL
200630,200210,F,BSC Information Technology (Spec),SA,F
200920,200510,F,BSC Computer Science and Management,SA,SL
201430,200910,F,BSC Computer Science (Major),ST,SU
200910,200410,F,BSC Computer Science (Spec),SA,SU
200420,200010,M,BSC Information Technology (Major),SA,SL
202420,202310,M,BSC Computer Science and Management,ST,F
202020,201810,F,BSC Computer Science (Major),ST,SL
202110,201810,M,BSC Computer Science and Management,ST,F
202430,202410,F,BSC Computer Science and Management,ST,F
200620,200110,F,BSC Computer Science (Spec),SA,SL
200530,200110,M,BSC Computer Science (Spec),SA,SU
202430,201910,F,BSC Computer Science and Management,ST,SU
202210,201910,F,BSC Computer Science (Major),ST,F
202420,202210,F,BSC Information Technology (Spec),ST,SU
201620,201310,F,BSC Computer Science and Management,ST,SL
202230,201710,M,BSC Information Technology (Major),ST,F
202410,202310,M,BSC Computer Science (Spec),ST,SU
202430,202310,M,BSC Computer Science and Management,ST,SU
201010,200510,F,BSC Computer Science (Major),SA,F
202430,202210,M,BSC Computer Science and Management,ST,F
201610,201310,F,BSC Computer Science (Spec),ST,F
200720,200410,M,BSC Information Technology (Spec),SA,SU
201710,201410,M,BSC Computer Science (Major),ST,F
200820,200510,M,BSC Information Technology (Major),SA,F
202130,201910,F,BSC Computer Science (Major),ST,SU
200710,200210,M,BSC Computer Science (Major),SA,SU
200320,200010,F,BSC Computer Science (Major),SA,SU
200510,200110,F,BSC Computer Science (Major),SA,SU
201820,201610,M,BSC Information Technology (Major),ST,SL
202430,202410,F,BSC Computer Science and Management,ST,SL
202420,202110,M,BSC Computer Science and Management,ST,F
201730,201210,M,BSC Computer Science and Management,ST,SU
200520,200310,M,BSC Computer Science (Spec),SA,SU
202130,201910,F,BSC Computer Science (Spec),ST,SL
201930,201410,F,BSC Computer Science (Spec),ST,SU
202410,202010,F,BSC Computer Science (Major),ST,F
201510,201010,M,BSC Information Technology (Major),ST,F
202120,201910,F,BSC Information Technology (Major),ST,F
202430,202210,F,BSC Computer Science and Management,ST,P
200930,200610,F,BSC Computer Science (Major),SA,SU
201720,201510,F,BSC Computer Science (Spec),ST,SL
200830,200310,M,BSC Computer Science (Spec),SA,SU
200710,200510,M,BSC Computer Science (Major),SA,SU
201520,201010,M,BSC Computer Science and Management,ST,F
201730,201510,M,BSC Information Technology (Spec),ST,F
202410,202310,M,BSC Computer Science (Spec),ST,P
202430,202410,F,BSC Information Technology (Major),ST,F
202430,202310,F,BSC Computer Science (Spec),ST,SU
201020,200810,F,BSC Computer Science (Major),SA,SU
201330,201010,M,BSC Information Technology (Spec),ST,SL
200820,200410,F,BSC Computer Science and Management,SA,SU
202120,201810,F,BSC Computer Science and Management,ST,F
201430,201110,F,BSC Computer Science (Major),ST,SL
200520,200010,F,BSC Computer Science and Management,SA,SU
202010,201510,F,BSC Computer Science (Spec),ST,F
202330,202110,F,BSC Computer Science and Management,ST,SL
202420,202210,F,BSC Computer Science (Spec),ST,SL
201410,200910,M,BSC Computer Science (Spec),ST,F
200930,200610,F,BSC Computer Science (Spec),SA,SL
202420,202310,M,BSC Computer Science (Major),ST,P
201620,201210,M,BSC Computer Science and Management,ST,F
201710,201210,F,BSC Computer Science and Management,ST,F
201110,200610,M,BSC Computer Science and Management,SA,F
202030,201810,F,BSC Information Technology (Major),ST,F
200820,200510,F,BSC Computer Science and Management,SA,SU
200930,200610,F,BSC Computer Science (Major),SA,SL
202430,202310,F,BSC Information Technology (Major),ST,SL
202410,202110,M,BSC Computer Science and Management,ST,SL
200710,200510,M,BSC Computer Science and Management,SA,P
201630,201310,F,BSC Computer Science (Spec),ST,SU
200620,200310,F,BSC Computer Science and Management,SA,F
202230,201910,F,BSC Computer Science (Major),ST,F
201920,201410,F,BSC Computer Science and Management,ST,SU
200510,200310,F,BSC Information Technology (Major),SA,F
202410,202110,F,BSC Computer Science and Management,ST,F
202430,202310,M,BSC Information Technology (Major),ST,SL
202420,202010,F,BSC Computer Science (Major),ST,SU
200520,200210,M,BSC Information Technology (Major),SA,P
202210,201710,F,BSC Computer Science (Spec),ST,F
200630,200310,M,BSC Computer Science (Major),SA,P
201810,201410,M,BSC Computer Science (Spec),ST,P
200910,200610,M,BSC Computer Science (Major),SA,SU
200720,200310,M,BSC Information Technology (Major),SA,F
200320,200010,F,BSC Information Technology (Spec),SA,SU
202410,202110,M,BSC Computer Science and Management,ST,SL
201430,201110,F,BSC Computer Science (Major),ST,SU
200410,200110,F,BSC Computer Science (Spec),SA,SU
202230,201910,M,BSC Computer Science and Management,ST,SU
202410,202310,M,BSC Computer Science and Management,ST,SL
202320,202010,F,BSC Computer Science (Major),ST,SU
202430,202110,M,BSC Information Technology (Spec),ST,SU
200630,200210,F,BSC Computer Science and Management,SA,P
202420,202110,M,BSC Computer Science and Management,ST,SL
201430,201210,F,BSC Computer Science (Major),ST,SU
200530,200310,F,BSC Computer Science (Major),SA,SU
202220,202010,F,BSC Computer Science and Management,ST,SU
201110,200710,F,BSC Information Technology (Major),SA,SU
201410,201210,F,BSC Information Technology (Spec),ST,F
201410,200910,M,BSC Information Technology (Spec),ST,SU
202130,201710,F,BSC Computer Science (Major),ST,SU
201510,201010,M,BSC Information Technology (Spec),ST,P
202420,201910,F,BSC Computer Science and Management,ST,SU
202430,202110,F,BSC Computer Science (Spec),ST,SL
202210,201810,M,BSC Computer Science (Spec),ST,F
202430,201910,M,BSC Computer Science (Spec),ST,SL
201630,201110,F,BSC Computer Science and Management,ST,SL
201920,201610,F,BSC Computer Science and Management,ST,SL
202410,202410,F,BSC Computer Science (Major),ST,F
200910,200710,F,BSC Computer Science (Major),SA,F
201410,200910,F,BSC Information Technology (Spec),ST,F
200920,200410,F,BSC Information Technology (Spec),SA,F
200810,200310,M,BSC Computer Science (Major),SA,F
201710,201310,F,BSC Information Technology (Spec),ST,SL
200810,200510,F,BSC Computer Science and Management,SA,SU
