Date of Birth,Gender,Nationality,Address,Qualification,Degree Enrolled in,Year Enrolled
10-1978,Female,Trinidad and Tobago,Point Fortin,CAPE,BSc. Information Technology (Special),2003
10-1981,Male,Trinidad and Tobago,Arima,CSEC,BSc. Information Technology (Special),2003
02-1981,Male,Trinidad and Tobago,Sangre Grande,CAPE,BSc. Information Technology (Special),2001
11-1980,Female,Trinidad and Tobago,Arima,Other,BSc. Information Technology (Special),2004
07-1981,Female,Trinidad and Tobago,Arima,Other,BSc. Computer Science (Special),2000
04-1979,Female,Trinidad and Tobago,Point Fortin,Other,BSc. Information Technology,2002
08-1977,Female,Trinidad and Tobago,Couva,CSEC,BSc. Information Technology,2001
09-1981,Male,Trinidad and Tobago,Chaguanas,Other,BSc. Information Technology (Special),2003
03-1977,Male,Trinidad and Tobago,Penal,CAPE,BSc. Computer Science (Special),2002
11-1977,Male,Trinidad and Tobago,Tunapuna,CSEC,BSc. Computer Science with Management,2003
06-1980,Male,Trinidad and Tobago,Siparia,CSEC,BSc. Computer Science with Management,2002
10-1982,Female,Trinidad and Tobago,Port of Spain,Other,BSc. Information Technology,2003
05-1982,Male,Trinidad and Tobago,Arima,CAPE,BSc. Information Technology,2003
01-1977,Male,Trinidad and Tobago,Sangre Grande,CSEC,BSc. Computer Science with Management,2004
04-1982,Male,Trinidad and Tobago,Sangre Grande,CAPE,BSc. Computer Science (Special),2001
04-1981,Female,Trinidad and Tobago,Port of Spain,CSEC,BSc. Information Technology,2001
11-1979,Female,Trinidad and Tobago,Siparia,CSEC,BSc. Computer Science with Management,2004
02-1979,Male,Trinidad and Tobago,Point Fortin,CSEC,BSc. Computer Science,2000
11-1979,Male,Trinidad and Tobago,Port of Spain,Other,BSc. Computer Science,2002
01-1983,Female,Trinidad and Tobago,Arima,CSEC,BSc. Information Technology (Special),2002
08-1977,Male,Trinidad and Tobago,Port of Spain,Other,BSc. Information Technology (Special),2003
09-1978,Female,Trinidad and Tobago,Chaguanas,CSEC,BSc. Computer Science (Special),2000
11-1981,Male,Trinidad and Tobago,Point Fortin,Other,BSc. Computer Science with Management,2001
12-1978,Male,Trinidad and Tobago,Arima,CAPE,BSc. Computer Science with Management,2002
02-1979,Male,Trinidad and Tobago,Port of Spain,Other,BSc. Information Technology (Special),2004
04-1978,Male,Trinidad and Tobago,Point Fortin,Other,BSc. Computer Science (Special),2001
09-1981,Male,Trinidad and Tobago,San Fernando,CAPE,BSc. Information Technology (Special),2002
11-1980,Female,Trinidad and Tobago,Point Fortin,Other,BSc. Information Technology (Special),2004
11-1977,Male,Trinidad and Tobago,Siparia,CAPE,BSc. Computer Science with Management,2004
10-1977,Female,Trinidad and Tobago,Sangre Grande,CSEC,BSc. Information Technology,2001
10-1979,Male,Trinidad and Tobago,Arima,CSEC,BSc. Computer Science with Management,2002
05-1981,Female,Trinidad and Tobago,Penal,Other,BSc. Information Technology (Special),2002
03-1981,Female,Trinidad and Tobago,Chaguanas,CAPE,BSc. Information Technology (Special),2000
12-1977,Male,Trinidad and Tobago,Penal,CSEC,BSc. Computer Science with Management,2004
08-1979,Female,Trinidad and Tobago,Arima,Other,BSc. Computer Science with Management,2003
10-1981,Female,Trinidad and Tobago,Siparia,Other,BSc. Information Technology (Special),2003
07-1979,Male,Trinidad and Tobago,Siparia,CSEC,BSc. Computer Science,2002
02-1978,Male,Trinidad and Tobago,Sangre Grande,Other,BSc. Computer Science with Management,2003
09-1981,Female,Trinidad and Tobago,Siparia,Other,BSc. Information Technology,2000
11-1979,Male,Trinidad and Tobago,Siparia,Other,BSc. Information Technology (Special),2002
09-1981,Male,Trinidad and Tobago,Point Fortin,CAPE,BSc. Information Technology,2000
10-1978,Female,Trinidad and Tobago,Penal,CAPE,BSc. Information Technology,2003
03-1982,Female,Trinidad and Tobago,Tunapuna,CAPE,BSc. Information Technology (Special),2004
09-1981,Male,Trinidad and Tobago,Chaguanas,CAPE,BSc. Computer Science (Special),2001
01-1982,Male,Trinidad and Tobago,Port of Spain,CSEC,BSc. Information Technology (Special),2003
07-1979,Female,Trinidad and Tobago,San Fernando,CSEC,BSc. Computer Science,2003
11-1980,Male,Trinidad and Tobago,San Fernando,Other,BSc. Information Technology,2002
11-1977,Female,Trinidad and Tobago,San Fernando,CAPE,BSc. Computer Science with Management,2002
02-1982,Male,Trinidad and Tobago,Point Fortin,CAPE,BSc. Computer Science with Management,2002
05-1980,Female,Trinidad and Tobago,Tunapuna,CSEC,BSc. Computer Science with Management,2001
10-1979,Male,Trinidad and Tobago,Chaguanas,CSEC,BSc. Computer Science,2001
12-1981,Male,Trinidad and Tobago,Point Fortin,Other,BSc. Computer Science,2004
02-1979,Male,Trinidad and Tobago,Chaguanas,CSEC,BSc. Computer Science with Management,2003
07-1979,Female,Trinidad and Tobago,Sangre Grande,CSEC,BSc. Information Technology,2003
08-1978,Female,Trinidad and Tobago,Chaguanas,Other,BSc. Information Technology,2004
09-1978,Male,Trinidad and Tobago,Couva,CSEC,BSc. Computer Science,2001
08-1978,Female,Trinidad and Tobago,Couva,CSEC,BSc. Computer Science (Special),2002
05-1977,Male,Trinidad and Tobago,Penal,Other,BSc. Information Technology,2001
04-1982,Male,Trinidad and Tobago,Penal,CSEC,BSc. Computer Science with Management,2001
08-1982,Male,Trinidad and Tobago,Chaguanas,CSEC,BSc. Computer Science (Special),2000
04-1979,Female,Trinidad and Tobago,Point Fortin,CSEC,BSc. Information Technology,2002
02-1981,Female,Trinidad and Tobago,Couva,CSEC,BSc. Computer Science (Special),2004
08-1977,Female,Trinidad and Tobago,Tunapuna,CSEC,BSc. Computer Science with Management,2002
11-1977,Female,Trinidad and Tobago,Couva,CSEC,BSc. Computer Science (Special),2002
